MiniDOT Logger Concatenated Data File
Sensor:             7450-293738
Concatenation Date: 2020Sep30 15:05:27 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1095.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1595889000,           2020-07-27 22:30:00,           2020-07-27 16:30:00,      3.550000,     19.607000,          8.431000,                   105.265731,      0.983000
                1595889600,           2020-07-27 22:40:00,           2020-07-27 16:40:00,      3.560000,     18.533000,          8.743000,                   106.799115,      0.984000
                1595890200,           2020-07-27 22:50:00,           2020-07-27 16:50:00,      3.560000,     18.390000,          8.807000,                   107.265033,      0.986000
                1595890800,           2020-07-27 23:00:00,           2020-07-27 17:00:00,      3.560000,     18.306000,          8.830000,                   107.359237,      0.986000
                1595891400,           2020-07-27 23:10:00,           2020-07-27 17:10:00,      3.560000,     18.357000,          8.821000,                   107.362570,      0.985000
                1595892000,           2020-07-27 23:20:00,           2020-07-27 17:20:00,      3.560000,     18.348000,          8.836000,                   107.525204,      0.985000
                1595892600,           2020-07-27 23:30:00,           2020-07-27 17:30:00,      3.560000,     18.323000,          8.842000,                   107.542811,      0.985000
                1595893200,           2020-07-27 23:40:00,           2020-07-27 17:40:00,      3.560000,     18.264000,          8.862000,                   107.655037,      0.985000
                1595893800,           2020-07-27 23:50:00,           2020-07-27 17:50:00,      3.560000,     18.214000,          8.829000,                   107.143557,      0.985000
                1595894400,           2020-07-28 00:00:00,           2020-07-27 18:00:00,      3.560000,     18.390000,          8.828000,                   107.520803,      0.984000
                1595895000,           2020-07-28 00:10:00,           2020-07-27 18:10:00,      3.560000,     18.357000,          8.850000,                   107.715536,      0.985000
                1595895600,           2020-07-28 00:20:00,           2020-07-27 18:20:00,      3.560000,     18.281000,          8.847000,                   107.510504,      0.985000
                1595896200,           2020-07-28 00:30:00,           2020-07-27 18:30:00,      3.560000,     18.180000,          8.849000,                   107.310904,      0.984000
                1595896800,           2020-07-28 00:40:00,           2020-07-27 18:40:00,      3.560000,     17.911000,          8.894000,                   107.257785,      0.985000
                1595897400,           2020-07-28 00:50:00,           2020-07-27 18:50:00,      3.550000,     17.869000,          8.897000,                   107.200507,      0.985000
                1595898000,           2020-07-28 01:00:00,           2020-07-27 19:00:00,      3.560000,     17.928000,          8.898000,                   107.343861,      0.985000
                1595898600,           2020-07-28 01:10:00,           2020-07-27 19:10:00,      3.550000,     17.843000,          8.913000,                   107.335343,      0.985000
                1595899200,           2020-07-28 01:20:00,           2020-07-27 19:20:00,      3.560000,     17.911000,          8.907000,                   107.414560,      0.985000
                1595899800,           2020-07-28 01:30:00,           2020-07-27 19:30:00,      3.560000,     17.961000,          8.897000,                   107.405248,      0.984000
                1595900400,           2020-07-28 01:40:00,           2020-07-27 19:40:00,      3.560000,     17.919000,          8.909000,                   107.456507,      0.985000
                1595901000,           2020-07-28 01:50:00,           2020-07-27 19:50:00,      3.550000,     17.902000,          8.913000,                   107.466853,      0.984000
                1595901600,           2020-07-28 02:00:00,           2020-07-27 20:00:00,      3.560000,     17.995000,          8.906000,                   107.589662,      0.984000
                1595902200,           2020-07-28 02:10:00,           2020-07-27 20:10:00,      3.550000,     18.062000,          8.879000,                   107.412373,      0.983000
                1595902800,           2020-07-28 02:20:00,           2020-07-27 20:20:00,      3.550000,     18.079000,          8.907000,                   107.789003,      0.984000
                1595903400,           2020-07-28 02:30:00,           2020-07-27 20:30:00,      3.550000,     18.079000,          8.907000,                   107.789003,      0.984000
                1595904000,           2020-07-28 02:40:00,           2020-07-27 20:40:00,      3.550000,     18.130000,          8.907000,                   107.902735,      0.984000
                1595904600,           2020-07-28 02:50:00,           2020-07-27 20:50:00,      3.550000,     18.357000,          8.821000,                   107.362570,      0.983000
                1595905200,           2020-07-28 03:00:00,           2020-07-27 21:00:00,      3.550000,     18.424000,          8.864000,                   108.034833,      0.984000
                1595905800,           2020-07-28 03:10:00,           2020-07-27 21:10:00,      3.550000,     18.500000,          8.833000,                   107.825372,      0.984000
                1595906400,           2020-07-28 03:20:00,           2020-07-27 21:20:00,      3.550000,     18.424000,          8.881000,                   108.242029,      0.984000
                1595907000,           2020-07-28 03:30:00,           2020-07-27 21:30:00,      3.550000,     18.214000,          8.854000,                   107.446942,      0.983000
                1595907600,           2020-07-28 03:40:00,           2020-07-27 21:40:00,      3.550000,     18.390000,          8.898000,                   108.373369,      0.984000
                1595908200,           2020-07-28 03:50:00,           2020-07-27 21:50:00,      3.550000,     18.298000,          8.864000,                   107.754853,      0.984000
                1595908800,           2020-07-28 04:00:00,           2020-07-27 22:00:00,      3.550000,     18.290000,          8.875000,                   107.870782,      0.984000
                1595909400,           2020-07-28 04:10:00,           2020-07-27 22:10:00,      3.550000,     18.298000,          8.824000,                   107.268595,      0.983000
                1595910000,           2020-07-28 04:20:00,           2020-07-27 22:20:00,      3.550000,     18.256000,          8.839000,                   107.357917,      0.984000
                1595910600,           2020-07-28 04:30:00,           2020-07-27 22:30:00,      3.550000,     18.323000,          8.846000,                   107.591462,      0.984000
                1595911200,           2020-07-28 04:40:00,           2020-07-27 22:40:00,      3.550000,     18.247000,          8.841000,                   107.362273,      0.984000
                1595911800,           2020-07-28 04:50:00,           2020-07-27 22:50:00,      3.550000,     18.239000,          8.847000,                   107.417403,      0.983000
                1595912400,           2020-07-28 05:00:00,           2020-07-27 23:00:00,      3.550000,     18.323000,          8.832000,                   107.421184,      0.984000
                1595913000,           2020-07-28 05:10:00,           2020-07-27 23:10:00,      3.550000,     18.306000,          8.820000,                   107.237652,      0.983000
                1595913600,           2020-07-28 05:20:00,           2020-07-27 23:20:00,      3.550000,     18.323000,          8.817000,                   107.238743,      0.983000
                1595914200,           2020-07-28 05:30:00,           2020-07-27 23:30:00,      3.550000,     18.332000,          8.827000,                   107.380282,      0.984000
